title,media,date,desc,link,img
"Google News Gets Biggest Overhaul Since 2002, Adds ...",TechCrunch (blog),"Jun. 30, 2010","Tesla cuts prices across EV lineup, ends free supercharging for Model S, Model X · Kirsten Korosec. 10:49 am PDT•May 27, 2020. Tesla slashed prices across ...",https://techcrunch.com/2010/06/30/google-news-overhaul/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8y4tbH9SZ-6JMHuOzvRzRzHdrc2KoF4Sh_3OjgI4SYKK46BvNtJC_EGCat9cm2EjQAdasr6Zw&s
US stocks turn up on Chicago manufacturing data,MarketWatch,"Jun. 30, 2010",California assemblywoman hits Elon Musk with an F-bomb after he says he will move Tesla's HQ out of state · Read full story ...,https://www.marketwatch.com/story/us-stocks-turn-up-on-chicago-manufacturing-data-2010-06-30?reflink=MW_news_stmp,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvHYWhlqoFN8O23nJ3kHpvRZFHMEflne4zuJ8VG7QaDFJL86IuhdX1ZzVOf25y6qb3vNZJ83Y&s
Swatch Founder Also Gave Birth to the Smart Car,New York Times (blog),"Jun. 30, 2010",Elon Musk Says Tesla Share Price Is Too High · Time to Check Your ... Elon Musk Says Tesla Share Price Is Too High · Top News · Go to the Home Page » ...,https://wheels.blogs.nytimes.com/2010/06/30/swatch-founder-also-gave-birth-to-the-smart-car/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEDHixsMm8N6xPjEEhRYKw-eyQvPDEXyTRHBB4gC9B5-uTa5Mgc5cVNlL7XUIhWt1BZcCiqhkO&s
Pagani Zonda R reportedly sets new Nürburgring record,Autoblog (blog),"Jun. 30, 2010",Mercedes-Benz C-Class vs Audi A5 | How the coupes compare on paper. 7 comments 7 · Watch a Tesla Model 3 drive into a flipped truck on a Taiwan highway.,https://www.autoblog.com/2010/06/30/pagani-zonda-r-reportedly-sets-new-nurburgring-record/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Environmental Mission Statements: Starwood Shows ...,Environmental Leader,"Jun. 30, 2010",Tesla Delays Semi Electric Truck Delivery Back until Next Year · Market for Renewable Aviation Fuel Expected to Skyrocket over Next 5 Years · Global Electric ...,https://www.environmentalleader.com/2010/06/environmental-mission-statements-starwood-shows-commitment/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Vintage Mini gets 3500-horsepower engine swap for Goodwood,Autoblog (blog),"Jun. 30, 2010",Mercedes-Benz C-Class vs Audi A5 | How the coupes compare on paper. 7 comments 7 · Watch a Tesla Model 3 drive into a flipped truck on a Taiwan highway.,https://www.autoblog.com/2010/06/30/vintage-mini-gets-3-500-horsepower-engine-swap-for-goodwood/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Superhero Wonder Woman gets trendy makeover,BBC News,"Jun. 30, 2010","A view of Tesla Inc""s U.S. vehicle factory in Fremont, California. Tesla ordered to keep main US plant closed. 9 May 2020. From the section US & Canada.",https://www.bbc.co.uk/news/10459184,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Nowack tweaks BMW M5's V10 to 708 horsepower,Autoblog (blog),"Jun. 30, 2010",6 comments 6 · Watch a Tesla Model 3 drive into a flipped truck on a Taiwan highway. 23 comments 23 · Not all BMWs will look like the 4 Series. 9 comments 9.,https://www.autoblog.com/2010/06/30/nowack-tweaks-the-bmw-m5s-v10-to-708-horsepower/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Simple Root Unlocks HTC Evo 4G in One Click,Lifehacker,"Jun. 30, 2010",Tesla Model 3 Drives Straight Into Overturned Truck In What Seems To Be Autopilot Failure. Read on. Olivia Jade Learns About Privilege. Subscribe To Our ...,https://lifehacker.com/simple-root-unlocks-htc-evo-4g-in-one-click-5576340,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Phil Spector documentary is essential viewing,Reuters,"Jun. 30, 2010","Amid lockdown dispute, Musk says he will move Tesla out of California · In leaked call, Obama describes Trump handling of virus as chaotic · Coronavirus deals ...",https://www.reuters.com/article/us-film-spector/phil-spector-documentary-is-essential-viewing-idUSTRE65T18C20100630,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2011 Bentley Continental Supersports Convertible,Car and Driver,"Jun. 30, 2010",... Rivian · Rolls-Royce · Subaru · Tesla · Toyota · Volkswagen · Volvo · Reviews · First Drives · Instrumented Tests · Comparison Tests · Long-Term Road Tests.,https://www.caranddriver.com/reviews/a15126216/bentley-continental-review-2011-bentley-supersports-convertible-first-drive/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4fu01g1-6wqN5PElfL2bsr9S9NtxzS6TM0NZ-tfdxbuiuUHHcAuw0mLVmOPsn1x2KeVl6NfU&s
Toyota to Supply Subaru With New Sub-Compact Model,AutoGuide.com,"Jun. 30, 2010",Subaru · Tesla · Toyota · Volkswagen · Volvo · Used Cars · Car Reviews · Auto Resources · Car Loan · Auto Insurance · Auto Glass Repair · Auto Warranty.,https://www.autoguide.com/auto-news/2010/06/toyota-to-supply-subaru-with-new-sub-compact-model.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCYkVetwtwCDw1qwNaBPOlzwv2iLaZwB7TS45EqoWknwcnkhFWyPu5MM74lBQlurilH7cNqQLQ&s
Mercy sells health plans to Coventry,Bizjournals.com,"Jun. 30, 2010","Musk tweet knocks $14bn off Tesla market value. Financial Times. Amelia Bond, president and CEO, St. Louis Community Foundation ...",https://www.bizjournals.com/stlouis/stories/2010/06/28/daily19.html,
Ferrari 360 Spider gets rear-ended by reckless driver,Top Speed (blog),"Jun. 30, 2010",... Rolls-Royce · Skoda · Smart · Subaru · Suzuki · Tesla · Toyota · Volkswagen · Volvo · View All. Model. Find. Ferrari 360. Competing Vehicles. 2009 BMW Z10.,https://www.topspeed.com/cars/car-news/ferrari-360-spider-gets-rear-ended-by-reckless-driver-ar92747.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Volvo prepares C60 Convertible for 2013,Top Speed (blog),"Jun. 30, 2010","... Suzuki · Tesla · Toyota · Volkswagen, Volvo, View All. Model, View All · Volvo Amazon · Volvo C30 · Volvo C70 · Volvo P1800 · Volvo PV50 · Volvo S40 · Volvo ...",https://www.topspeed.com/cars/car-news/volvo-prepares-c60-convertible-for-2013-ar92793.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
